Id,SalePrice
1461,109746.734
1462,154654.14
1463,176352.19
1464,182893.5
1465,199660.34
1466,177044.0
1467,178880.4
1468,170489.84
1469,196469.12
1470,98365.766
1471,209071.14
1472,110493.2
1473,106363.09
1474,161714.2
1475,125349.19
1476,353875.66
1477,244548.69
1478,312746.94
1479,297628.03
1480,440881.72
1481,278288.75
1482,221668.84
1483,193487.58
1484,178178.28
1485,213440.1
1486,214401.12
1487,288796.25
1488,231019.83
1489,185879.16
1490,235118.39
1491,212531.97
1492,91346.875
1493,199235.36
1494,299358.88
1495,265691.0
1496,253422.39
1497,187305.33
1498,177531.44
1499,175819.72
1500,163489.84
1501,225370.38
1502,172063.28
1503,268465.12
1504,239244.89
1505,218142.58
1506,183153.53
1507,244553.9
1508,206898.03
1509,163203.69
1510,128231.55
1511,146283.36
1512,170016.94
1513,172848.22
1514,139929.84
1515,226776.83
1516,175993.23
1517,171886.06
1518,123423.5
1519,229602.2
1520,115708.0
1521,120726.625
1522,193848.44
1523,91186.61
1524,132142.0
1525,108019.41
1526,115074.2
1527,96516.2
1528,132967.25
1529,143003.97
1530,180648.75
1531,151198.2
1532,89832.234
1533,163272.48
1534,148483.98
1535,162468.28
1536,103199.33
1537,59918.125
1538,180822.66
1539,249420.58
1540,135034.5
1541,166627.0
1542,137494.45
1543,203907.0
1544,77986.25
1545,115583.94
1546,145306.98
1547,152519.88
1548,131310.06
1549,109220.7
1550,129709.19
1551,131806.9
1552,136969.97
1553,149312.3
1554,121352.51
1555,176197.73
1556,88539.22
1557,116979.75
1558,121993.05
1559,80513.64
1560,136353.66
1561,127396.55
1562,116935.42
1563,100678.125
1564,175498.97
1565,153402.03
1566,232746.78
1567,84769.0
1568,231877.92
1569,140734.23
1570,155143.84
1571,125245.17
1572,133313.69
1573,242537.66
1574,123447.61
1575,221463.73
1576,247719.95
1577,187226.25
1578,165352.3
1579,144416.06
1580,202911.8
1581,161257.83
1582,122168.42
1583,285121.1
1584,231658.36
1585,158847.06
1586,51938.03
1587,133298.03
1588,148875.69
